result,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
6:02.86,ALB,Rodengo Saiano,ITA,2014-08-29,Flutura Muca,1976,Female,Mile,NR,Outdoor
4:20.79,ALG,Oslo,NOR,1991-07-06,Hassiba Boulmerka,1968,Female,Mile,NR,Outdoor
5:15.0,AND,Andorra,AND,2001-08-07,Silvia Felipo,1967,Female,Mile,NR,Outdoor
4:37.14,ARG,Mar del Plata,ARG,2021-05-15,Mariana Borelli,1992,Female,Mile,NR,Outdoor
4:15.34,AUS,Monaco,MON,2023-07-21,Jessica Hull,1996,Female,Mile,NR,Outdoor
4:24.37,AUT,Zürich,SUI,1996-08-14,Theresia Kiesl,1963,Female,Mile,NR,Outdoor
4:40.19,AZE,Istanbul,TUR,2012-06-02,Layes Tsige,1991,Female,Mile,NR,Outdoor
4:26.09,BEL,Zagreb,CRO,2022-09-11,Elise Vanderelst,1998,Female,Mile,NR,Outdoor
4:30.86,BLR,Rovereto,ITA,2016-09-06,Daryia Barysevich,1990,Female,Mile,NR,Outdoor
4:30.05,BRA,Bratislava,TCH,1988-06-09,Soraya Telles,1958,Female,Mile,NR,Outdoor
4:17.75,BRN,Bruxelles,BEL,2007-09-14,Maryam Jamal,1984,Female,Mile,NR,Outdoor
4:17.87,CAN,Monaco,MON,2019-07-12,Gabriela DeBues-Stafford,1995,Female,Mile,NR,Outdoor
4:52.14,CGO,Philadelphia,USA,2005-04-30,Leontine Tsiba,1973,Female,Mile,NR,Outdoor
4:42.65,CHA,Milano,ITA,2022-06-11,Hassanatte Fraida,1996,Female,Mile,NR,Outdoor
4:43.70,CHI,Barcelona,ESP,1982-06-10,Alejandra Ramos,1958,Female,Mile,NR,Outdoor
4:35.34,CHN,Linz,AUT,1998-07-05,Wang Qingfen,1973,Female,Mile,NR,Outdoor
4:39.07,CMR,Nivelles,BEL,2002-08-16,Florence Djepe,1978,Female,Mile,NR,Outdoor
4:54.14,COD,Atlanta,USA,2016-07-23,Francine Nzilampa,1982,Female,Mile,NR,Outdoor
4:59.8,COL,Villavicencio,COL,1984-05-19,Fabiola Luz,,Female,Mile,NR,Outdoor
5:08.7,CRC,San José3,CRC,2005-02-05,Gabriela Traña,1980,Female,Mile,NR,Outdoor
4:53.80,CYP,Starkville,USA,2014-03-05,Meropi Panagiotou,1994,Female,Mile,NR,Outdoor
4:21.54,CZE,London,GBR,2018-07-22,Simona Vrzalová,1988,Female,Mile,NR,Outdoor
4:30.25,DEN,Köln,GER,1991-09-08,Gitte Karlshøj,1959,Female,Mile,NR,Outdoor
6:12.14,EGY,Roma,ITA,2020-10-25,Manar El Hindawy,,Female,Mile,NR,Outdoor
5:08.13,ESA,San Salvador,ESA,2009-02-22,Brenda Salmerón,1991,Female,Mile,NR,Outdoor
4:21.13,ESP,Rieti,ITA,2008-09-07,Nuria Fernández,1976,Female,Mile,NR,Outdoor
4:36.36,EST,Tallinn,EST,2017-08-18,Liina Tšernov,1987,Female,Mile,NR,Outdoor
4:14.30,ETH,Rovereto,ITA,2016-09-06,Genzebe Dibaba,1991,Female,Mile,NR,Outdoor
4:28.12,FIN,Stirling,GBR,2023-08-26,Sara Lappalainen,1991,Female,Mile,NR,Outdoor
