result,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
1.40,AFG,Finnfjordbotn,NOR,2001-07-23,Jasmin Shams,,Female,PV,NR,Outdoor
2.60,ALB,Pátra,GRE,2010-05-08,Alma Dhespollari,1976,Female,PV,NR,Outdoor
3.70,ALG,Franconville,FRA,2000-05-07,Linda Méziani,1979,Female,PV,NR,Outdoor
3.70,ALG,Alger,ALG,2006-07-24,Sonia Halliche,1988,Female,PV,NR,Outdoor
2.90,AND,El Prat de Llobregat,ESP,2008-05-18,Maria Martinez,1985,Female,PV,NR,Outdoor
3.60,ANG,Vagos,POR,2015-06-14,Lidia Alberto,1993,Female,PV,NR,Outdoor
4.43,ARG,Santa Fé,ARG,2004-04-03,Alejandra García,1973,Female,PV,NR,Outdoor
4.90,AUS,Budapest,HUN,2023-08-23,Nina Kennedy,1997,Female,PV,NR,Outdoor
4.45,AUT,Zürich,SUI,2014-08-12,Kira Grünberg,1993,Female,PV,NR,Outdoor
3.80,AZE,Baku,AZE,2014-06-01,Yelena Gladkova,1998,Female,PV,NR,Outdoor
2.85,BAH,Mayaguez,PUR,2023-08-06,Anaiah Rolle,,Female,PV,NR,Outdoor
3.70,BDI,Feyzin,FRA,2007-06-29,Laetitia Berthier,1977,Female,PV,NR,Outdoor
3.70,BDI,Addis Ababa,ETH,2008-05-01,Laetitia Berthier,1977,Female,PV,NR,Outdoor
4.51,BEL,Leuven,BEL,2019-08-24,Fanny Smets,1986,Female,PV,NR,Outdoor
2.90,BIH,Zenica,BIH,2023-07-08,Neira Hadžiahmetagic,1999,Female,PV,NR,Outdoor
2.63,BIZ,Tallahassee,USA,2011-03-12,Stephaun Martínez,,Female,PV,NR,Outdoor
4.75,BLR,Brest,BLR,2023-07-01,Iryna Zhuk,1993,Female,PV,NR,Outdoor
2.55,BOL,Cochabamba,BOL,2006-05-14,María del Carmen Paredes,1981,Female,PV,NR,Outdoor
4.87,BRA,São Bernardo do Campo,BRA,2016-07-03,Fabiana Murer,1981,Female,PV,NR,Outdoor
4.45,BUL,Velenje,SLO,2003-06-21,Tania Stefanova,1972,Female,PV,NR,Outdoor
2.80,BUR,Aix-en-Provence,FRA,2008-05-18,Lynda Ouedraogo,,Female,PV,NR,Outdoor
2.00,CAF,Marseille,FRA,2006-05-25,Chancela Moundo,,Female,PV,NR,Outdoor
2.81,CAM,Forbach,FRA,2007-06-27,Helene Kong,1993,Female,PV,NR,Outdoor
4.82,CAN,Paris,FRA,2019-08-24,Alysha Newman,1994,Female,PV,NR,Outdoor
2.40,CGO,Brazzaville,CGO,2004-07-15,Carine Golom Mbeh,,Female,PV,NR,Outdoor
1.80,CHA,Saint-Jean-de-Luz,FRA,2003-01-05,Amina Mahamat,,Female,PV,NR,Outdoor
