result,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
3222,AND,Sabadell,ESP,2016-09-01,Claudia Guri,1995,Female,Pen,NR,Indoor
3160,ARM,Tehran,IRI,2013-02-14,Kristine Harutyunyan,1991,Female,Pen,NR,Indoor
4490,AUS,Maebashi,JPN,1999-03-05,Jane Jamieson,1975,Female,Pen,NR,Indoor
4767,AUT,Beograd,SRB,2017-03-03,Ivona Dadic,1993,Female,Pen,NR,Indoor
4643,BAR,Manhattan KS,USA,2016-01-22,Akela Inatta-Jones,1995,Female,Pen,NR,Indoor
5055,BEL,Istanbul,TUR,2023-03-03,Nafissatou Thiam,1994,Female,Pen,NR,Indoor
3820,BIH,Beograd,SRB,2018-03-03,Mladena Petrušic,1993,Female,Pen,NR,Indoor
4850,BLR,Lisboa,POR,2001-03-09,Natallia Sazanovich,1973,Female,Pen,NR,Indoor
4292,BRA,Tallinn,EST,2016-02-14,Vanessa Spínola,1990,Female,Pen,NR,Indoor
4542,BUL,UNKNOWN,???,1983-03-06,Daniela Nenova,1961,Female,Pen,NR,Indoor
4881,CAN,Portland OR,USA,2016-03-18,Brianne Theisen-Eaton,1988,Female,Pen,NR,Indoor
4415,CHN,Beijing,CHN,2014-03-22,Wang Qingling,1993,Female,Pen,NR,Indoor
3543,CMR,Paris,FRA,2003-01-26,Antoinette Nana Djimou,1985,Female,Pen,NR,Indoor
4436,CRO,Tallinn,EST,2024-02-04,Jana Koščak,2006,Female,Pen,NR,Indoor
3454,CYP,Pireás,GRE,2022-02-27,Charithea Irakleous,2002,Female,Pen,NR,Indoor
4687,CZE,Praha,CZE,2015-03-06,Eliška Klučinová,1988,Female,Pen,NR,Indoor
4072,DEN,Aarhus,DEN,2013-02-03,Tine Bach Ejlersen,1985,Female,Pen,NR,Indoor
4222,DMA,Clemson SC,USA,2014-02-27,Thea LaFond,1994,Female,Pen,NR,Indoor
4728,ESP,Aubière,FRA,2024-01-28,María Vicente,2001,Female,Pen,NR,Indoor
4580,EST,Tallinn,EST,2009-02-08,Kaie Kand,1984,Female,Pen,NR,Indoor
4677,FIN,Glasgow,GBR,2024-03-01,Saga Vanninen,2003,Female,Pen,NR,Indoor
4723,FRA,Paris,FRA,2011-03-04,Antoinette Nana Djimou,1985,Female,Pen,NR,Indoor
4723,FRA,Glasgow,GBR,2019-03-01,Solène Ndama,1998,Female,Pen,NR,Indoor
5000,GBR,Praha,CZE,2015-03-06,Katarina Johnson-Thompson,1993,Female,Pen,NR,Indoor
4780,GER,Paris,FRA,1997-03-07,Sabine Braun,1965,Female,Pen,NR,Indoor
4550,GRE,Athína,GRE,2007-02-04,Argyro Strataki,1975,Female,Pen,NR,Indoor
4550,GRE,Athína,GRE,2007-02-04,Aryiró Stratáki,1975,Female,Pen,NR,Indoor
