result,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
4.78,AFG,Helsinki,FIN,2017-09-20,Yalda Amini,1999,Female,SP,NR,Outdoor
12.70,AHO,San Juan,PUR,1989-07-27,Barbara Francisco,,Female,SP,NR,Outdoor
9.27,AIA,Glasgow,GBR,2014-07-29,Dee-Ann Rogers,1993,Female,SP,NR,Outdoor
16.36,ALB,Tirane,ALB,1984-04-29,Antoneta Koçi,1962,Female,SP,NR,Outdoor
16.16,ALG,Annaba,ALG,1995-07-13,Yasmina Azzizi,1966,Female,SP,NR,Outdoor
9.70,AND,Andorra,AND,2002-02-23,Joana Santamaria,1986,Female,SP,NR,Outdoor
12.90,ANG,Luanda,ANG,1981-08-24,Carla Carvalho,,Female,SP,NR,Outdoor
17.32,ANT,Gold Coast,AUS,2018-04-13,Jess St. John,1995,Female,SP,NR,Outdoor
16.59,ARG,São Caetano do Sul,BRA,2006-07-22,Rocío Comba,1987,Female,SP,NR,Outdoor
18.51,ARM,Helsinki,FIN,1973-09-15,Faina Melnik,1945,Female,SP,NR,Outdoor
11.68,ARU,Ottawa,CAN,2013-06-01,Julianne Dorothal,1997,Female,SP,NR,Outdoor
17.34,ASA,Honiara,SOL,2023-11-27,Nu'u Tuilefano,2000,Female,SP,NR,Outdoor
19.74,AUS,Berkeley,USA,1984-07-14,Gael Martin,1956,Female,SP,NR,Outdoor
19.21,AUT,Casablanca,MAR,1999-07-13,Valentina Fedjuschina,1965,Female,SP,NR,Outdoor
16.31,AZE,Donetsk,URS,1978-07-16,Valentina Podgornova,,Female,SP,NR,Outdoor
17.23,BAH,Knoxville,USA,2006-05-26,Aymara Albury,1985,Female,SP,NR,Outdoor
13.52,BAN,Dhaka,BAN,2024-02-09,Zakia Akter,,Female,SP,NR,Outdoor
17.14,BAR,Lincoln,USA,2007-05-13,Shernelle Nicholls,1984,Female,SP,NR,Outdoor
