code;type;discipline;class;result;wind;venue;venueCountry;environment;date;name;firstname;lastname;nation;yearOfBirth;sex
AR;4;10K;M;26:11.00;;Valencia;ESP;Outdoor;2020-10-07;Joshua Cheptegei;;;UGA;1996;Male
AR;5;10K;M;26:38.76;;Bruxelles;BEL;Outdoor;2003-09-05;Abdullah Ahmad Hassan;;;QAT;1981;Male
AR;1;10K;M;26:46.57;;Eugene;USA;Outdoor;2011-06-03;Mo Farah;;;GBR;1983;Male
AR;2;10K;M;26:44.36;;Eugene;USA;Outdoor;2014-05-30;Galen Rupp;;;USA;1986;Male
AR;6;10K;M;27:09.57;;San Juan Capistrano;USA;Outdoor;2024-03-16;Jack Rayner;;;AUS;1995;Male
AR;3;10K;M;27:28.12;;Neerpelt;BEL;Outdoor;2007-06-02;Marílson dos Santos;;;BRA;1977;Male
AR;4;10G;M;39:17.6;;Thika;KEN;Outdoor;2023-03-10;Samuel Gathimba;;;KEN;1987;Male
AR;2;10G;M;38:25.42;;Canberra;AUS;Outdoor;2024-01-28;Evan Dunfee;;;CAN;1990;Male
AR;4;1K0;M;2:11.96;;Rieti;ITA;Outdoor;1999-09-05;Noah Ngeny;;;KEN;1978;Male
AR;5;1K0;M;2:14.72;;Stockholm;SWE;Outdoor;2008-07-22;Youssef Saad Kamel;;;BRN;1981;Male
AR;1;1K0;M;2:12.18;;Oslo;NOR;Outdoor;1981-07-11;Sebastian Coe;;;GBR;1956;Male
AR;6;1K0;M;2:16.09;;Ostrava;CZE;Outdoor;2014-06-17;Jeff Riseley;;;AUS;1986;Male
AR;3;1K0;M;2:14.09;;Nice;FRA;Outdoor;1984-08-20;Joaquim Cruz;;;BRA;1963;Male
AR;4;100;M;9.77;1.2;Nairobi;KEN;Outdoor;2021-09-18;Ferdinand Omanyala;;;KEN;1996;Male
AR;5;100;M;9.83;0.9;Tokyo;JPN;Outdoor;2021-08-01;Su Bingtian;;;CHN;1989;Male
AR;1;100;M;9.80;0.1;Tokyo;JPN;Outdoor;2021-08-01;Lamont Marcell Jacobs;;;ITA;1994;Male
AR;2;100;M;9.58;0.9;Berlin;GER;Outdoor;2009-08-16;Usain Bolt;;;JAM;1986;Male
AR;6;100;M;9.93;1.8;Mito;JPN;Outdoor;2003-05-05;Patrick Johnson;;;AUS;1972;Male
AR;3;100;M;9.89;0.8;São Paulo;BRA;Outdoor;2023-07-28;Issam Asinga;;;SUR;2004;Male
AR;4;11H;M;13.11;1.8;Praha;CZE;Outdoor;2017-06-05;Antonio Alkana;;;RSA;1990;Male
AR;5;11H;M;12.88;1.1;Lausanne;SUI;Outdoor;2006-07-11;Liu Xiang;;;CHN;1983;Male
AR;1;11H;M;12.91;0.5;Stuttgart;GER;Outdoor;1993-08-20;Colin Jackson;;;GBR;1967;Male
AR;2;11H;M;12.80;0.3;Bruxelles;BEL;Outdoor;2012-09-07;Aries Merritt;;;USA;1985;Male
AR;6;11H;M;13.29;0.6;Göteborg;SWE;Outdoor;1995-08-11;Kyle Vander-Kuyp;;;AUS;1971;Male
AR;3;11H;M;13.17;0.4;Rio de Janeiro;BRA;Outdoor;2022-06-23;Rafael Henrique Pereira;;;BRA;1997;Male
AR;4;1K5;M;3:26.00;;Roma;ITA;Outdoor;1998-07-14;Hicham El Guerrouj;;;MAR;1974;Male
AR;5;1K5;M;3:29.14;;Roma;ITA;Outdoor;2006-07-14;Rashid Ramzi;;;BRN;1980;Male
AR;1;1K5;M;3:27.14;;Chorzów;POL;Outdoor;2023-07-16;Jakob Ingebrigtsen;;;NOR;2000;Male
AR;2;1K5;M;3:29.02;;Oslo;NOR;Outdoor;2023-06-15;Yared Nuguse;;;USA;1999;Male
AR;6;1K5;M;3:29.41;;Oslo;NOR;Outdoor;2023-06-15;Olli Hoare;;;AUS;1997;Male
AR;3;1K5;M;3:33.25;;Rieti;ITA;Outdoor;2005-08-28;Hudson de Souza;;;BRA;1977;Male
AR;4;2K0;M;4:44.79;;Berlin;GER;Outdoor;1999-09-07;Hicham El Guerrouj;;;MAR;1974;Male
AR;5;2K0;M;4:55.57;;Roma;ITA;Outdoor;1995-06-08;Mohamed Ahmed Suleiman;;;QAT;1969;Male
AR;1;2K0;M;4:43.13;;Bruxelles;BEL;Outdoor;2023-09-08;Jakob Ingebrigtsen;;;NOR;2000;Male
AR;2;2K0;M;4:51.54;;Bruxelles;BEL;Outdoor;2023-09-08;Charles Philibert-Thiboutot;;;CAN;1990;Male
AR;6;2K0;M;4:48.77;;Bruxelles;BEL;Outdoor;2023-09-08;Stewart McSweyn;;;AUS;1995;Male
AR;3;2K0;M;5:03.34;;Manaus;BRA;Outdoor;2002-04-06;Hudson de Souza;;;BRA;1977;Male
AR;4;200;M;19.50;1.6;London;GBR;Outdoor;2023-07-23;Letsile Tebogo;;;BOT;2003;Male
AR;5;200;M;19.88;0.9;London;GBR;Outdoor;2019-07-21;Xie Zhenye;;;CHN;1993;Male
AR;1;200;M;19.72;1.8;Ciudad de México;MEX;Outdoor;1979-09-12;Pietro Mennea;;;ITA;1952;Male
AR;2;200;M;19.19;-0.3;Berlin;GER;Outdoor;2009-08-20;Usain Bolt;;;JAM;1986;Male
AR;6;200;M;20.06;0.9;Ciudad de México;MEX;Outdoor;1968-10-16;Peter Norman;;;AUS;1942;Male
