Code;Type;Discipline;Class;Result;Wind;Venue;Venue Country;Environment;Date;Firstname;Lastname;Nation;YOB;Sex
ARU20;0;HOC;MJU20;2.37;;Plovdiv;BUL;Outdoor;1990-08-12;Dragutin;Topić;YUG;1971;Male
ARU20;1;HOC;MJU20;2.37;;Jamsil, Seoul;KOR;Outdoor;1992-09-20;Steve;Smith;GBR;1973;Male
ARU20;1;STA;MJU20;6.05;;Berlin;GER;Outdoor;2018-08-12;Armand;Duplantis;SWE;1999;Male
ARU20;1;WEI;MJU20;8.35;1.1;Cheboksary;RUS;Outdoor;2012-06-20;Sergey;Morgunov;RUS;1993;Male
ARU20;1;DRE;MJU20;17.50;0.4;Erfurt;GER;Outdoor;1985-06-23;Volker;Mai;GDR;1966;Male
ARU20;1;SPE;MJU20;84.98;;Eisenstadt;AUT;Outdoor;2023-07-26;György;Herczeg;HUN;2004;Male
ARU20;1;SPE;MJU20;84.98;;Eisenstadt;AUT;Outdoor;2023-07-26;György;Herczeg;HUN;2004;Male
ARU20;1;100;MJU20;10.04;0.2;Novi Sad;SRB;Outdoor;2009-07-24;Christophe;Lemaitre;FRA;1990;Male
ARU20;1;200;MJU20;19.96;-1.0;Cali;COL;Outdoor;2022-08-04;Blessing;Akwasi Afrifah;ISR;2003;Male
ARU20;1;400;MJU20;45.01;;Berlin;GER;Outdoor;1984-07-15;Thomas;Schönlebe;GDR;1965;Male
ARU20;1;800;MJU20;1:44.14;;Ostrava;CZE;Outdoor;2021-05-19;Max;Burgin;GBR;2002;Male
ARU20;1;1K0;MJU20;2:18.3;;Dresden;GER;Outdoor;1977-08-07;Andreas;Busse;GDR;1959;Male
ARU20;1;1K5;MJU20;3:30.16;;Lausanne;SUI;Outdoor;2019-07-05;Jakob;Ingebrigtsen;NOR;2000;Male
ARU20;1;MEI;MJU20;3:48.93;;Eugene;USA;Outdoor;2023-09-16;Niels;Laros;NED;2005;Male
ARU20;1;3K0;MJU20;7:43.20;;Köln;GER;Outdoor;1977-06-22;Ari;Paunonen;FIN;1958;Male
ARU20;1;5K0;MJU20;13:02.03;;London;GBR;Outdoor;2019-07-20;Jakob;Ingebrigtsen;NOR;2000;Male
ARU20;1;10K;MJU20;28:11.71;;Oslo;NOR;Outdoor;2022-04-13;Abdullahi;Dahir Rabi;NOR;2003;Male
ARU20;1;40H;MJU20;48.74;;Moskva;URS;Outdoor;1984-08-18;Vladimir;Budko;URS;1965;Male
ARU20;1;3KH;MJU20;8:29.12;;Bergen;NOR;Outdoor;2022-06-08;Axel;Vang Christensen;DEN;2004;Male
ARU20;1;10G;MJU20;38:46.4;;Moskva;RUS;Outdoor;2000-05-20;Viktor;Burayev;RUS;1982;Male
ARU20;1;4×1;MJU20;38.90;;Kasarani, Nairobi;KEN;Outdoor;2021-08-22;;;POL;;Male
ARU20;1;4×4;MJU20;3:04.05;;Tampere;FIN;Outdoor;2018-07-15;;;ITA;;Male
ARU20;1;60M;MJU20;6.51;;Lisboa;POR;Indoor;2001-03-11;Mark;Lewis-Francis;GBR;1982;Male
ARU20;1;200;MJU20;20.80;;Luxembourg;LUX;Indoor;2024-01-21;Marek;Zakrzewski;POL;2005;Male
ARU20;1;400;MJU20;46.16;;Birmingham;GBR;Indoor;2022-02-19;Edward;Faulds;GBR;2003;Male
ARU20;1;800;MJU20;1:46.89;;Toruń;POL;Indoor;2022-02-22;Kacper;Lewalski;POL;2003;Male
ARU20;1;1K0;MJU20;2:22.98;;Erfurt;GER;Indoor;1997-02-05;Nils;Schumann;GER;1978;Male
ARU20;1;1K5;MJU20;3:36.02;;Düsseldorf;GER;Indoor;2019-02-20;Jakob;Ingebrigtsen;NOR;2000;Male
ARU20;1;MEI;MJU20;4:03.88;;MA;USA;Indoor;2011-02-05;Lukas;Verzbicas;LTU;1993;Male
ARU20;1;3K0;MJU20;7:51.20;;Glasgow;GBR;Indoor;2019-03-01;Jakob;Ingebrigtsen;NOR;2000;Male
ARU20;1;5K0;MJU20;14:06.78;;NY;USA;Indoor;2011-03-11;Lukas;Verzbicas;LTU;1993;Male
