Code;Type;Discipline;Class;Result;Wind;Venue;Venue Country;Environment;Date;Firstname;Lastname;Nation;YOB;Sex
ARU20;1;HOC;WJU20;2.04;;Doha;QAT;Outdoor;2019-09-30;Yaroslava;Mahuchikh;UKR;2001;Female
ARU20;1;WEI;WJU20;7.14;1.1;Bratislava;TCH;Outdoor;1983-06-04;Heike;Daute;GDR;1964;Female
ARU20;1;DRE;WJU20;14.62;1.0;Sydney;AUS;Outdoor;1996-08-25;Tereza;Marinova;BUL;1977;Female
ARU20;1;KUG;WJU20;20.54;;Orimattila;FIN;Outdoor;1989-07-01;Astrid;Kumbernuss;GDR;1970;Female
ARU20;1;DIS;WJU20;74.40;;Berlin;GER;Outdoor;1988-09-13;Ilke;Wyludda;GDR;1969;Female
ARU20;1;HAM;WJU20;73.43;;Vaasa;FIN;Outdoor;2021-06-28;Silja;Kosonen;FIN;2002;Female
ARU20;1;SPE;WJU20;63.52;;Cali;COL;Outdoor;2022-08-02;Adriana;Vilagoš;SRB;2004;Female
ARU20;1;100;WJU20;10.88;2.0;Dresden;GER;Outdoor;1977-07-01;Marlies;Oelsner;GDR;1958;Female
ARU20;1;200;WJU20;22.19;1.5;Moskva;URS;Outdoor;1980-07-30;Natalya;Bochina;URS;1962;Female
ARU20;1;400;WJU20;49.42;;Tokyo;JPN;Outdoor;1991-08-27;Grit;Breuer;GER;1972;Female
ARU20;1;800;WJU20;1:55.88;;Tokyo;JPN;Outdoor;2021-08-03;Keely;Hodgkinson;GBR;2002;Female
ARU20;1;1K0;WJU20;2:34.89;;Nice;FRA;Outdoor;2023-06-17;Audrey;Werro;SUI;2004;Female
ARU20;1;1K5;WJU20;4:04.24;;Paris-St-Denis;FRA;Outdoor;2003-08-29;Nelya;Neporadna;UKR;1985;Female
ARU20;1;MEI;WJU20;4:17.57;;Zürich;SUI;Outdoor;1985-08-21;Zola;Budd;GBR;1966;Female
ARU20;1;3K0;WJU20;8:28.83;;Roma;ITA;Outdoor;1985-09-07;Zola;Budd;GBR;1966;Female
ARU20;1;5K0;WJU20;14:48.07;;London;GBR;Outdoor;1985-08-26;Zola;Budd;GBR;1966;Female
ARU20;1;10K;WJU20;31:40.42;;Atlanta;USA;Outdoor;1996-07-27;Annemari;Sandell;FIN;1977;Female
ARU20;1;10H;WJU20;12.85;2.0;Bydgoszcz;POL;Outdoor;2016-07-24;Elvira;Herman;BLR;1997;Female
ARU20;1;40H;WJU20;55.46;;Göteborg;SWE;Outdoor;1995-08-11;Ionela;Ţirlea-Manolache;ROU;1976;Female
ARU20;1;3KH;WJU20;9:32.74;;Daegu;KOR;Outdoor;2011-08-30;Gesa;Felicitas Krause;GER;1992;Female
ARU20;1;10G;WJU20;42:47.25;;Eugene;USA;Outdoor;2014-07-23;Anežka;Drahotová;CZE;1995;Female
ARU20;1;4×1;WJU20;43.27;;Grosseto;ITA;Outdoor;2017-07-23;;;GER;;Female
ARU20;1;4×4;WJU20;3:28.39;;Sudbury;CAN;Outdoor;1988-07-31;;;GDR;;Female
ARU20;1;STA;WJU20;4.71;;Zweibrücken;GER;Indoor;2016-01-31;Wilma;Murto;FIN;1998;Female
ARU20;1;60M;WJU20;7.07;;Toruń;POL;Indoor;2016-02-12;Ewa;Swoboda;POL;1997;Female
ARU20;1;200;WJU20;23.15;;Sheffield;GBR;Indoor;2014-03-02;Dina;Asher-Smith;GBR;1995;Female
ARU20;1;400;WJU20;52.37;;Göteborg;SWE;Indoor;2013-03-01;Ella;Räsänen;FIN;1994;Female
ARU20;1;800;WJU20;1:59.03;;Wien;AUT;Indoor;2021-01-30;Keely;Hodgkinson;GBR;2002;Female
ARU20;1;1K0;WJU20;2:41.79;;Magglingen;SUI;Indoor;2019-02-24;Delia;Sclabas;SUI;2000;Female
ARU20;1;1K5;WJU20;4:08.38;;Karlsruhe;GER;Indoor;2016-02-06;Konstanze;Klosterhalfen;GER;1997;Female
ARU20;1;MEI;WJU20;4:29.31;;Ostrava;CZE;Indoor;2024-01-30;Sofia;Thøgersen;DEN;2005;Female
ARU20;1;3K0;WJU20;8:56.36;;Leipzig;GER;Indoor;2016-02-28;Konstanze;Klosterhalfen;GER;1997;Female
ARU20;1;5K0;WJU20;16:27.69;;AR;USA;Indoor;2003-02-14;Yuliya;Stashkiv;UKR;1984;Female
ARU20;1;60H;WJU20;8.00;;Toruń;POL;Indoor;2017-02-18;Klaudia;Siciarz;POL;1998;Female
