Code;Type;Discipline;Class;Result;Wind;Venue;Venue Country;Environment;Date;Firstname;Lastname;Nation;YOB;Sex;WorldathleticsId
NR;AFG;5K0;M;15:52.68;;Ravnanger;NOR;Outdoor;2010-08-06;Aman;Haidari;AFG;;Male;
NR;AHO;5K0;M;14:49.6;;Panama City;PAN;Outdoor;1970-03-03;Ronald;Mercelina;AHO;;Male;
NR;AIA;5K0;M;16:45.79;;St. George's;GRN;Outdoor;2000-04-23;Michael;Gumbs;AIA;;Male;
NR;ALB;5K0;M;14:12.6;;Elbasan;ALB;Outdoor;1990-05-31;Isuf;Curri;ALB;1963;Male;
NR;ALG;5K0;M;12:50.86;;Roma;ITA;Outdoor;2000-06-30;Ali;Saïdi-Sief;ALG;1978;Male;
NR;AND;5K0;M;14:05.16;;Marsa;MLT;Outdoor;2023-06-03;Nahuel;Carabaña;AND;1999;Male;
NR;ANG;5K0;M;13:40.12;;Göteborg;SWE;Outdoor;1995-08-11;Aurelio;Miti;ANG;1973;Male;
NR;ANT;5K0;M;15:13.4;;Bridgetown;BAR;Outdoor;1988-07-11;Dale;Jones;ANT;1964;Male;
NR;ARG;5K0;M;13:11.57;;Stanford;USA;Outdoor;2023-04-21;Federico;Bruno;ARG;1993;Male;
NR;ARU;5K0;M;14:18.31;;Leiden;NED;Outdoor;1986-05-08;Kimball;Reynierse;ARU;1961;Male;
NR;ASA;5K0;M;16:32.4;;Utulei;ASA;Outdoor;1992-10-04;John;Wasco;ASA;;Male;
NR;AUS;5K0;M;12:55.76;;London;GBR;Outdoor;2004-07-30;Craig;Mottram;AUS;1980;Male;
NR;AUT;5K0;M;13:13.44;;London;GBR;Outdoor;2005-07-22;Günther;Weidlinger;AUT;1978;Male;
NR;AZE;5K0;M;13:09.17;;Zürich;SUI;Outdoor;2014-08-28;Hayle;Ibrahimov;AZE;1990;Male;
NR;BAH;5K0;M;14:33.99;;Gainesville;USA;Outdoor;2021-04-02;Gabriel;Curtis;BAH;2001;Male;
NR;BAN;5K0;M;14:47.19;;Madras;IND;Outdoor;1995-12-21;Mohamed;Eliysuddin;BAN;;Male;
NR;BAR;5K0;M;14:20.2;;Bridgetown;BAR;Outdoor;1992-06-05;Leo;Garnes;BAR;1969;Male;
NR;BDI;5K0;M;12:59.39;;Roma;ITA;Outdoor;2022-06-09;Thierry;Ndikumwenayo;BDI;1997;Male;
NR;BEL;5K0;M;12:49.71;;Bruxelles;BEL;Outdoor;2000-08-25;Mohammed;Mourhit;BEL;1970;Male;
NR;BEN;5K0;M;14:31.71;;Accra;GHA;Outdoor;2025-08-19;Yacoub;Tchoumon;BEN;2001;Male;
NR;BER;5K0;M;14:23.35;;Raleigh;USA;Outdoor;2017-03-24;Lamont;Marshall;BER;1984;Male;
NR;BHU;5K0;M;14:40.64;;Gumi;KOR;Outdoor;2025-05-30;Gawa;Zangpo;BHU;1994;Male;
NR;BIH;5K0;M;14:00.2;;Nova Gorica;YUG;Outdoor;1980-04-13;Bilko;Kacar;BIH;1956;Male;
NR;BLR;5K0;M;13:17.66;;Budapest;HUN;Outdoor;1979-07-10;Aleksandr;Fedotkin;BLR;1955;Male;
NR;BOL;5K0;M;13:57.80;;Lima;PER;Outdoor;2019-05-26;Vidal;Basco;BOL;1996;Male;
NR;BOT;5K0;M;13:29.6;;Stellenbosch;RSA;Outdoor;1978-04-13;Matthews;Motshwarateu;BOT;1958;Male;
NR;BRA;5K0;M;13:19.43;;Kassel;GER;Outdoor;2006-06-08;Marílson;Dos Santos;BRA;1977;Male;
NR;BRN;5K0;M;12:48.67;;Paris;FRA;Outdoor;2025-06-20;Birhanu;Balew;BRN;1996;Male;
NR;BRU;5K0;M;15:28.90;;Bandar Seri Begawan;BRU;Outdoor;1973-07-15;B.J.r;Keneenthep;BRU;;Male;
NR;BUL;5K0;M;13:13.15;;Stuttgart;FRG;Outdoor;1986-08-31;Evgeni;Ignatov;BUL;1959;Male;
NR;BUR;5K0;M;14:51.8;;Abidjan;CIV;Outdoor;1995-04-15;Charles;Neboua;BUR;;Male;
NR;CAF;5K0;M;14:18.3;;Saint-Maur;FRA;Outdoor;1996-06-19;Christian;Yago;CAF;1967;Male;
NR;CAM;5K0;M;14:24.71;;Nakhon Ratchasima;THA;Outdoor;2007-12-07;Bunting;Hem;CAM;1985;Male;
NR;CAN;5K0;M;12:47.20;;Portland;USA;Outdoor;2020-07-10;Mohammed;Ahmed;CAN;1991;Male;
NR;CAY;5K0;M;14:08.09;;Los Angeles;USA;Outdoor;2011-03-11;Jon;Rankin;CAY;1982;Male;
NR;CGO;5K0;M;13:35.64;;Heusden;BEL;Outdoor;2025-07-19;Alex;Ngouari-Mouissi;CGO;1991;Male;
NR;CHA;5K0;M;13:47.44;;Douala;CMR;Outdoor;2024-06-26;Onessime;Rondouba;CHA;;Male;
NR;CHI;5K0;M;13:23.68;;Heusden;BEL;Outdoor;2001-07-14;Mauricio;Díaz;CHI;1968;Male;
NR;CHN;5K0;M;13:25.14;;Shanghai;CHN;Outdoor;1997-10-23;Xia;Fengyuan;CHN;1975;Male;
NR;CIV;5K0;M;14:28.6;;Abidjan;CIV;Outdoor;1988-04-23;Pierre;Kouabenan;CIV;1962;Male;
NR;CMR;5K0;M;13:57.71;;Douala;CMR;Outdoor;2024-06-26;André;Yainam;CMR;1995;Male;
NR;COD;5K0;M;13:49.69;;Sotteville-lès-Rouen;FRA;Outdoor;2001-12-07;Patrick;Tambwé;COD;1975;Male;
NR;COK;5K0;M;16:41.7;;Avarua;COK;Outdoor;1971-12-06;Jubilee;Reu;COK;;Male;
NR;COL;5K0;M;13:21.31;;Stanford;USA;Outdoor;2019-05-02;Gerard;Giraldo;COL;1989;Male;
NR;COM;5K0;M;14:02.2;;Marignane;FRA;Outdoor;1995-07-06;Mohamed;Ahmed;COM;;Male;
NR;CPV;5K0;M;13:53.36;;Bruxelles;BEL;Outdoor;2024-05-25;Samuel;Freire;CPV;1990;Male;
NR;CRC;5K0;M;13:44.99;;Victoria;CAN;Outdoor;2000-05-27;Eric;Quiros;CRC;1973;Male;
NR;CRO;5K0;M;13:37.76;;Walnut;USA;Outdoor;2003-04-17;Dalibor;Balgač;CRO;1977;Male;
NR;CUB;5K0;M;13:44.8;;Praha;TCH;Outdoor;1977-06-21;Luis;Medina;CUB;1952;Male;
NR;CYP;5K0;M;13:34.29;;Riccione;ITA;Outdoor;1983-08-27;Philippos;Philippou;CYP;1956;Male;
NR;CZE;5K0;M;13:24.99;;Moskva;URS;Outdoor;1980-08-01;Jirí;Sykora;CZE;1954;Male;
NR;DEN;5K0;M;13:14.98;;Oordegem;BEL;Outdoor;2025-08-09;Joel;Ibler Lillesø;DEN;2003;Male;
NR;DJI;5K0;M;12:56.43;;Stockholm;SWE;Outdoor;2024-05-15;Mohamed;Ismail Ibrahim;DJI;1997;Male;
NR;DMA;5K0;M;13:35.86;;Walnut;USA;Outdoor;1998-04-18;Steve;Agar;DMA;1968;Male;
NR;DOM;5K0;M;14:12.97;;Gainesville;USA;Outdoor;2019-03-28;Alvaro;Abreu;DOM;1991;Male;
NR;ECU;5K0;M;13:23.72;;Ninove;BEL;Outdoor;2012-07-21;Byron;Piedra;ECU;1982;Male;
NR;EGY;5K0;M;13:53.03;;El Maadi;EGY;Outdoor;2022-09-15;Salim;Mohammed Attiaallah;EGY;1993;Male;
NR;ERI;5K0;M;12:59.27;;Roma;ITA;Outdoor;2006-07-14;Zersenay;Tadese;ERI;1982;Male;
NR;ESA;5K0;M;14:38.37;;La Habana;CUB;Outdoor;2001-05-27;Ronald;Arias;ESA;;Male;
