Code;Type;Discipline;Class;Result;Wind;Venue;Venue Country;Environment;Date;Firstname;Lastname;Nation;YOB;Sex
WRU20;;10K;WJU20;30:26.50;;Beijing;CHN;Outdoor;2008-08-15;Linet;Chepkwemoi Masai;KEN;1989;Female
WRU20;;10G;WJU20;42:47.25;;Eugene;USA;Outdoor;2014-07-23;Anežka;Drahotová;CZE;1995;Female
WRU20;;100;WJU20;10.88;2.0;Dresden;GER;Outdoor;1977-07-01;Marlies;Oelsner;GDR;1958;Female
WRU20;;10H;WJU20;12.71;1.3;Joensuu;FIN;Outdoor;2019-07-24;Britany;Anderson;JAM;2001;Female
WRU20;;1K0;WJU20;2:34.89;;Nice;FRA;Outdoor;2023-06-17;Audrey;Werro;SUI;2004;Female
WRU20;;1K5;WJU20;3:51.34;;Shanghai;CHN;Outdoor;1997-10-18;Yinglai;Lang;CHN;1979;Female
WRU20;;200;WJU20;21.81;0.8;Tokyo;JPN;Outdoor;2021-08-03;Christine;Mboma;NAM;2003;Female
WRU20;;3K0;WJU20;8:28.83;;Roma;ITA;Outdoor;1985-09-07;Zola;Budd;GBR;1966;Female
WRU20;;3KH;WJU20;8:58.78;;Eugene;USA;Outdoor;2017-05-26;Celliphine;Chepteek Chespol;KEN;1999;Female
WRU20;;400;WJU20;49.42;;Tokyo;JPN;Outdoor;1991-08-27;Grit;Breuer;GER;1972;Female
WRU20;;40H;WJU20;53.60;;AR;USA;Outdoor;2018-04-27;Sydney;Mclaughlin;USA;1999;Female
WRU20;;4×1;WJU20;42.59;;Cali;COL;Outdoor;2022-08-05;Jamaica;U20;JAM;;Female
WRU20;;4×4;WJU20;3:27.60;;Grosseto;ITA;Outdoor;2004-07-18;Jamaica;U20;USA;;Female
WRU20;;5K0;WJU20;14:23.71;;Eugene;USA;Outdoor;2024-05-25;Birke;Haylom;ETH;2006;Female
WRU20;;800;WJU20;1:54.01;;Zürich;SUI;Outdoor;2008-08-29;Pamela;Jelimo;KEN;1989;Female
WRU20;;DIS;WJU20;74.40;;Berlin;GER;Outdoor;1988-09-13;Ilke;Wyludda;GDR;1969;Female
WRU20;;HAM;WJU20;73.43;;Vaasa;FIN;Outdoor;2021-06-28;Silja;Kosonen;FIN;2002;Female
WRU20;;HOC;WJU20;2.04;;Doha;QAT;Outdoor;2019-09-30;Yaroslava;Mahuchikh;UKR;2001;Female
WRU20;;SPE;WJU20;64.28;;Hangzhou;CHN;Outdoor;2024-04-14;Ziyi;Yan;CHN;2008;Female
WRU20;;WEI;WJU20;7.14;1.1;Bratislava;TCH;Outdoor;1983-06-04;Heike;Daute;GDR;1964;Female
WRU20;;MEI;WJU20;4:17.13;;Oslo;NOR;Outdoor;2023-06-15;Birke;Haylom;ETH;2006;Female
WRU20;;KUG;WJU20;20.54;;Orimattila;FIN;Outdoor;1989-07-01;Astrid;Kumbernuss;GDR;1970;Female
WRU20;;DRE;WJU20;14.62;1.0;Sydney;AUS;Outdoor;1996-08-25;Tereza;Marinova;BUL;1977;Female
WRU20;;1K0;WJU20;2:35.80;;Boston;USA;Indoor;2014-02-08;Mary;Cain;USA;1996;Female
WRU20;;1K5;WJU20;3:58.43;;Boston;USA;Indoor;2024-02-04;Birke;Haylom;ETH;2006;Female
WRU20;;200;WJU20;22.34;;Boston;USA;Indoor;2024-03-09;JaMeesia;Ford;USA;2005;Female
WRU20;;3K0;WJU20;8:32.34;;Boston;USA;Indoor;2024-02-04;Melknat;Wudu;ETH;2005;Female
WRU20;;5K0;WJU20;14:53.99;;MA;USA;Indoor;2004-01-31;Tirunesh;Dibaba;ETH;1985;Female
WRU20;;60M;WJU20;7.07;;Toruń;POL;Indoor;2016-02-12;Ewa;Swoboda;POL;1997;Female
WRU20;;60M;WJU20;7.07;;Albuquerque;USA;Indoor;2023-03-10;Kaila;Jackson;USA;2004;Female
WRU20;;60H;WJU20;7.92;;Fayetteville;USA;Indoor;2021-03-13;Ackera;Nugent;JAM;2002;Female
WRU20;;800;WJU20;1:58.40;;Fayetteville;USA;Indoor;2021-02-27;Athing;Mu;USA;2002;Female
WRU20;;MEI;WJU20;4:24.10;;Birmingham;GBR;Indoor;2010-02-20;Kalkidan;Gezahegne;ETH;1991;Female
WRU20;;STA;WJU20;4.71;;Zweibrücken;GER;Indoor;2016-01-31;Wilma;Murto;FIN;1998;Female
