result,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,event,type,class
7.47,1.5,MLT,Marsa,MLT,2024-01-27,Carla Scicluna,2001.0,Female,60M,NR,W
6.53,0.0,RSA,Pretoria,RSA,2023-02-18,Akani Simbine,1993.0,Male,60M,NR,M
13.29,0.3,AFG,Tokyo,JPN,2021-07-30,Kimia Yousufi,1996.0,Female,100,NR,W
11.98,,AIA,Edwardsville IL,USA,1998-05-08,Desiree Cocks,1979.0,Female,100,NR,W
11.67,,ALB,Tirane,ALB,2006-07-24,Klodiana Shala,1979.0,Female,100,NR,W
11.61,-1.5,ALG,El Djezair,ALG,2007-08-07,Souheir Bouali,1990.0,Female,100,NR,W
12.01,1.5,AND,Gavà,ESP,2018-06-16,Cristina Llovera,1996.0,Female,100,NR,W
11.69,,ANG,Porto,POR,1995-06-30,Antónia Margarete de Jesus,1974.0,Female,100,NR,W
11.08,0.4,ANT,Eugene OR,USA,2022-06-09,Joella Lloyd,2002.0,Female,100,NR,W
11.4,1.4,ARG,Cochabamba,BOL,2018-05-13,Victoria Woodward,1991.0,Female,100,NR,W
11.84,0.3,ARM,Krasnodar,RUS,2015-06-06,Diana Khubeseryan,1994.0,Female,100,NR,W
11.73,0.9,ARU,La Habana,CUB,1983-07-22,Evelyne Farrell,1960.0,Female,100,NR,W
12.83,0.2,ASA,Honiara,SOL,2023-11-27,Filomenaleonisa Iakopo,2006.0,Female,100,NR,W
11.1,1.6,AUS,Canberra,AUS,2024-01-27,Torrie Lewis,2005.0,Female,100,NR,W
11.15,0.0,AUT,Salzburg-Rif,AUT,2003-08-09,Karin Mayr-Krifka,1971.0,Female,100,NR,W
11.61,0.0,AZE,Schaan,LIE,2018-06-09,Zakiyya Hasanova,1995.0,Female,100,NR,W
10.84,1.9,BAH,Lausanne,SUI,2005-07-05,Chandra Sturrup,1971.0,Female,100,NR,W
11.95,1.0,BAN,Dhaka,BAN,2022-09-23,Shirin Akter,1994.0,Female,100,NR,W
11.14,2.0,BAR,Tampa FL,USA,2021-05-16,Tristan Evelyn,1998.0,Female,100,NR,W
12.73,,BDI,Al Qâhira,EGY,1991-09-22,Francoise Bucumi,,Female,100,NR,W
11.04,2.0,BEL,Bruxelles,BEL,2006-07-09,Kim Gevaert,1978.0,Female,100,NR,W
11.55,2.0,BEN,Doha,QAT,2006-05-12,Fabienne Féraez,1976.0,Female,100,NR,W
11.46,,BER,Knoxville TN,USA,1977-04-15,Debbie Jones,1959.0,Female,100,NR,W
14.41,-0.3,BHU,Ho Chi Minh,VIE,2016-06-03,Sangay Wangmo,1998.0,Female,100,NR,W
12.0,0.6,BIH,Zenica,BIH,2023-07-08,Neira Bosnić,2000.0,Female,100,NR,W
11.46,1.3,BIZ,Bradenton FL,USA,2017-05-25,Kaina Martínez,1986.0,Female,100,NR,W
10.92,0.1,BLR,Athína,GRE,2004-08-21,Yulia Nestsiarenka,1979.0,Female,100,NR,W
11.67,0.7,BOL,Cochabamba,BOL,2023-04-29,Guadalupe Torrez,2001.0,Female,100,NR,W
11.24,0.4,BOT,Gaborone,BOT,2021-02-20,Loungo Matlhaku,1995.0,Female,100,NR,W
10.91,-0.2,BRA,London,GBR,2017-08-06,Rosângela Santos,1990.0,Female,100,NR,W
11.05,0.9,BRN,Durham NC,USA,2022-05-14,Ofonime Odiong,1997.0,Female,100,NR,W
12.02,,BRU,B.S. Begawan,BRU,1999-08-08,Alinawati Ali Akbar,1975.0,Female,100,NR,W
10.77,0.7,BUL,Plovdiv,BUL,2004-06-19,Ivet Lalova-Collio,1984.0,Female,100,NR,W
11.47,1.7,BUR,Castres,FRA,2015-07-29,Kadidiatou Traoré,1986.0,Female,100,NR,W
11.93,,CAF,Tergnier,FRA,1998-05-21,Emmanuelle Kogalama,1968.0,Female,100,NR,W
