result,discipline,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,environment
2:14.20,1000m,,DJI,Stockholm/G,SWE,2016-02-17,Ayanleh Souleiman,1992,men,Indoor
3:30.60,1500m,,NOR,Liévin,FRA,2022-02-17,Jakob Ingebrigtsen,2000,men,Indoor
4:51.23,2000m,,ETH,Liévin,FRA,2024-02-10,Lamecha Girma,2000,men,Indoor
19.92,200m,,NAM,Liévin,FRA,1996-02-18,Frank Fredericks,1967,men,Indoor
7:23.81,3000m,,ETH,Liévin,FRA,2023-02-15,Lamecha Girma,2000,men,Indoor
1:22.11,4 x 200m,,GBR,Glasgow,GBR,1991-03-03,Great Britain,,men,Indoor
3:01.51,4 x 400m,,USA,Clemson SC,USA,2019-02-09,United States,,men,Indoor
7:11.30,4 x 800m,,USA,Boston MA,USA,2018-02-25,United States,,men,Indoor
44.49,400m,,CAN,Fayetteville AR,USA,2024-02-24,Chris Morales Williams,2004,men,Indoor
12:49.60,5000m,,ETH,Birmingham,GBR,2004-02-20,Kenenisa Bekele,1982,men,Indoor
18:07.08,5000m Race Walk,,RUS,Moskva,RUS,1995-02-14,Mikhail Shchennikov,1967,men,Indoor
6.34,60m,,USA,Albuquerque NM,USA,2018-02-18,Christian Coleman,1996,men,Indoor
7.27,60m Hurdles,,USA,Albuquerque NM,USA,2024-02-16,Grant Holloway,1997,men,Indoor
1:42.67,800m,,DEN,Paris,FRA,1997-03-09,Wilson Kipketer,1972,men,Indoor
6645,Heptathlon,,USA,Istanbul,TUR,2012-03-10,Ashton Eaton,1988,men,Indoor
2.43,High Jump,,CUB,Budapest,HUN,1989-03-04,Javier Sotomayor,1967,men,Indoor
8.79,Long Jump,,USA,New York NY,USA,1984-01-27,Carl Lewis,1961,men,Indoor
3:47.01,One Mile,,ETH,Boston MA,USA,2019-03-03,Yomif Kejelcha,1997,men,Indoor
6.22,Pole Vault,,SWE,Clermont-Ferrand,FRA,2023-02-25,Armand Duplantis,1999,men,Indoor
23.38,Shot Put,,USA,Pocatello ID,USA,2023-02-18,Ryan Crouser,1992,men,Indoor
9.07,Shot Put (3kg),,EST,Rakvere,EST,2024-01-09,Andero Bergström,2011,men,Indoor
18.07,Triple Jump,,BUR,Aubière,FRA,2021-01-16,Hugues Fabrice Zango,1993,men,Indoor
8:00.67,Two Miles,,GBR,New York NY,USA,2024-02-11,Josh Kerr,1997,men,Indoor
