result,discipline,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,environment
41:22.5,"10,000m Race Walk",,RUS,Saransk,RUS,2023-09-24,Elvira Khasanova,2000,women,Indoor
2:30.94,1000m,,MOZ,Stockholm/G,SWE,1999-02-25,Maria Mutola,1972,women,Indoor
3:53.09,1500m,,ETH,Liévin,FRA,2021-02-09,Gudaf Tsegay,1997,women,Indoor
21.87,200m,,JAM,Liévin,FRA,1993-02-13,Merlene Ottey,1960,women,Indoor
8:16.60,3000m,,ETH,Stockholm/G,SWE,2014-02-06,Genzebe Dibaba,1991,women,Indoor
11:40.33,3000m Race Walk,,ROU,Bucureşti,ROU,1999-01-30,Claudia Ştef,1978,women,Indoor
1:32.41,4 x 200m,,RUS,Glasgow,GBR,2005-01-29,Russia,,women,Indoor
3:23.37,4 x 400m,,RUS,Glasgow,GBR,2006-01-28,Russia,,women,Indoor
8:05.89,4 x 800m,,USA,New York NY,USA,2018-02-03,United States,,women,Indoor
49.24,400m,,NED,Apeldoorn,NED,2024-02-18,Femke Bol,2000,women,Indoor
14:18.86,5000m,,ETH,Stockholm/G,SWE,2015-02-19,Genzebe Dibaba,1991,women,Indoor
6.92,60m,,RUS,Madrid,ESP,1993-02-11,Irina Privalova,1968,women,Indoor
6.92,60m,,RUS,Madrid,ESP,1995-02-09,Irina Privalova,1968,women,Indoor
7.67,60m Hurdles,,BAH,New York NY,USA,2024-02-11,Devynne Charlton,1995,women,Indoor
1:55.82,800m,,SLO,Wien,AUT,2002-03-03,Jolanda Batagelj,1976,women,Indoor
2.08,High Jump,,SWE,Arnstadt,GER,2006-02-04,Kajsa Bergqvist,1976,women,Indoor
7.37,Long Jump,,GER,Wien,AUT,1988-02-13,Heike Drechsler,1964,women,Indoor
4:13.31,One Mile,,ETH,Stockholm/G,SWE,2016-02-17,Genzebe Dibaba,1991,women,Indoor
5055,Pentathlon,,BEL,Istanbul,TUR,2023-03-03,Nafissatou Thiam,1994,women,Indoor
5.02,Pole Vault,,USA,Albuquerque NM,USA,2013-03-02,Jenn Suhr,1982,women,Indoor
22.50,Shot Put,,CZE,Jablonec,TCH,1977-02-19,Helena Fibingerová,1949,women,Indoor
15.74,Triple Jump,,VEN,Beograd,SRB,2022-03-20,Yulimar Rojas,1995,women,Indoor
25.73,Weight Throw,,USA,Albuquerque NM,USA,2024-02-17,Erin Reese,1995,women,Indoor
